Feature_Type,Model,Dataset,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Best_Parameters
HOG,Logistic_Regression,Validation,0.4341692789968652,0.37987630603452527,0.38838236678184496,0.3816643541463601,0.41888502706697994,0.4341692789968652,0.4235804033417398,"{'C': 1.0, 'class_weight': None}"
HOG,Logistic_Regression,Test,0.38617999442741713,0.34356584885656144,0.3583164745382157,0.3475092830470392,0.36203118806530743,0.38617999442741713,0.3694047316720073,"{'C': 1.0, 'class_weight': None}"
HOG,SGD_Linear_SVM,Validation,0.3928944618599791,0.3314250508557112,0.36573558461911293,0.3397991521243025,0.38221947892069735,0.3928944618599791,0.38322660586842106,"{'alpha': 0.001, 'class_weight': 'balanced'}"
HOG,SGD_Linear_SVM,Test,0.35525215937587074,0.2915690455119612,0.3368099093868483,0.30192766677857297,0.3315403838694722,0.35525215937587074,0.33727691940604293,"{'alpha': 0.001, 'class_weight': 'balanced'}"
HOG,KNN,Validation,0.49181469871125044,0.4696409793590414,0.47268036939234126,0.46626443882973573,0.4836088098736597,0.49181469871125044,0.48186455630866365,"{'n_neighbors': 3, 'weights': 'distance'}"
HOG,KNN,Test,0.4502646976873781,0.4372699843003978,0.44963321276116847,0.43907587513333,0.42830160356275315,0.4502646976873781,0.43333886562960683,"{'n_neighbors': 3, 'weights': 'distance'}"
Raw_Pixel,SGD_Linear_SVM,Validation,0.290491118077325,0.24675458189664293,0.24130418080258825,0.23747386934919104,0.2761440418391881,0.290491118077325,0.2788557050433438,"{'alpha': 0.0001, 'class_weight': None}"
Raw_Pixel,SGD_Linear_SVM,Test,0.28280858177765394,0.22622840956172227,0.23206493764216088,0.2250696151535568,0.26530092902921215,0.28280858177765394,0.26895723119222925,"{'alpha': 0.0001, 'class_weight': None}"
