Feature_Type,Model,Dataset,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Weighted_Precision,Weighted_Recall,Weighted_F1,Best_Parameters
HOG,Logistic_Regression,Validation,0.4341692789968652,0.3798763060345252,0.3883823667818449,0.3816643541463601,0.4188850270669799,0.4341692789968652,0.4235804033417398,"{'C': 1.0, 'class_weight': None}"
HOG,Logistic_Regression,Test,0.3861799944274171,0.3435658488565614,0.3583164745382157,0.3475092830470392,0.3620311880653074,0.3861799944274171,0.3694047316720073,"{'C': 1.0, 'class_weight': None}"
HOG,SGD_Linear_SVM,Validation,0.3928944618599791,0.3314250508557112,0.3657355846191129,0.3397991521243025,0.3822194789206973,0.3928944618599791,0.383226605868421,"{'alpha': 0.001, 'class_weight': 'balanced'}"
HOG,SGD_Linear_SVM,Test,0.3552521593758707,0.2915690455119612,0.3368099093868483,0.3019276667785729,0.3315403838694722,0.3552521593758707,0.3372769194060429,"{'alpha': 0.001, 'class_weight': 'balanced'}"
HOG,KNN,Validation,0.4918146987112504,0.4696409793590414,0.4726803693923412,0.4662644388297357,0.4836088098736597,0.4918146987112504,0.4818645563086636,"{'n_neighbors': 3, 'weights': 'distance'}"
HOG,KNN,Test,0.4502646976873781,0.4372699843003978,0.4496332127611684,0.43907587513333,0.4283016035627531,0.4502646976873781,0.4333388656296068,"{'n_neighbors': 3, 'weights': 'distance'}"
Raw_Pixel,SGD_Linear_SVM,Validation,0.290491118077325,0.2467545818966429,0.2413041808025882,0.237473869349191,0.2761440418391881,0.290491118077325,0.2788557050433438,"{'alpha': 0.0001, 'class_weight': None}"
Raw_Pixel,SGD_Linear_SVM,Test,0.2828085817776539,0.2262284095617222,0.2320649376421608,0.2250696151535568,0.2653009290292121,0.2828085817776539,0.2689572311922292,"{'alpha': 0.0001, 'class_weight': None}"
