Experiment,Use_CLAHE,Selection_Metric,Best_Validation_Accuracy,Best_Validation_Loss,Best_Validation_Macro_F1,Test_Accuracy,Test_Loss,Test_Macro_Precision,Test_Macro_Recall,Test_Macro_F1,Test_Weighted_F1,Training_Time_Seconds,Total_Experiment_Time_Seconds,Best_Model_Path,Final_Model_Path
with_clahe,True,Validation_Macro_F1,0.6312822921559418,1.0161342061478635,0.5786081587762965,0.6185525789684126,1.124897346947172,0.6544538386613106,0.5601695260608556,0.5655373319650993,0.6101925198813625,350.12080907821655,352.9312210083008,/Users/samuel/Desktop/ML/models/best_emotion_cnn_pytorch_with_clahe.pth,/Users/samuel/Desktop/ML/models/final_emotion_cnn_pytorch_with_clahe.pth
without_clahe,False,Validation_Macro_F1,0.6456082667919211,0.9876738229006207,0.5817854096823639,0.6288151406104225,1.0917513107087284,0.641686920147597,0.5830299275988665,0.5893231391307631,0.6230752483696347,374.50310707092285,376.7772390842438,/Users/samuel/Desktop/ML/models/best_emotion_cnn_pytorch_without_clahe.pth,/Users/samuel/Desktop/ML/models/final_emotion_cnn_pytorch_without_clahe.pth
