Experiment,Class,Precision,Recall,F1,Support
with_clahe,Angry,0.5399568034557235,0.5091649694501018,0.5241090146750524,491.0
with_clahe,Disgust,0.4482758620689655,0.7090909090909091,0.5492957746478874,55.0
with_clahe,Fear,0.43427230046948356,0.3503787878787879,0.38784067085953877,528.0
with_clahe,Happy,0.7403474903474904,0.8725824800910125,0.8010443864229765,879.0
with_clahe,Neutral,0.2814498933901919,0.2108626198083067,0.2410958904109589,626.0
with_clahe,Sad,0.4596651445966514,0.5084175084175084,0.4828137490007994,594.0
with_clahe,Surprise,0.6607538802660754,0.7163461538461539,0.6874279123414071,416.0
