Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Validation_Macro_F1
1,1.7334050962799474,1.5332055928011297,0.3452713815789474,0.4464824703970281,0.3649140871054585
2,1.4611206688378986,1.3636928373017498,0.4594161184210526,0.4968655676805201,0.42444547908443686
3,1.3628397747089989,1.2940038237240687,0.4967105263157895,0.5270489900162526,0.4565684892257126
4,1.3087021877891138,1.3638633782165577,0.5214638157894737,0.5135825400510796,0.41883709459256924
5,1.2723126925920185,1.206065199921517,0.5359375,0.563501276990945,0.506724492917472
6,1.234879889299995,1.2109484471050305,0.5467927631578947,0.5597863942419318,0.49410087079275167
7,1.2044573294489007,1.152569405213846,0.5588815789473685,0.575574645925238,0.5181980835111025
8,1.1852270189084504,1.1646666651345583,0.5649671052631579,0.5781286278151846,0.5216497903755443
9,1.167352840461229,1.179141751070822,0.5730263157894737,0.5700023218017182,0.5026007634103685
10,1.1460569604447013,1.116832765509918,0.5779194078947368,0.5913628976085442,0.5367300336232949
11,1.1260460750052803,1.0959380944948172,0.5887746710526316,0.5957743208729974,0.5411332658452602
12,1.107738783485011,1.147276407858045,0.5957236842105263,0.5864871140004644,0.5318193750502297
13,1.1004938969486637,1.1436976462305077,0.5976973684210526,0.5825400510796378,0.5254322162414115
14,1.076503599631159,1.0899685353199844,0.604235197368421,0.6078476898072904,0.5579216957170245
15,1.069595436987124,1.085969657750702,0.6054276315789474,0.6069189691200372,0.5484187889618489
16,1.059394719726161,1.2017622087570308,0.6131167763157894,0.573485024378918,0.507686027164942
17,1.0466319645705977,1.065450683336455,0.6137746710526316,0.611098212212677,0.5689047515671437
18,1.0402139757808886,1.0588902982476418,0.6186677631578947,0.6087764104945438,0.586216744864993
19,1.022968886400524,1.0596880724016575,0.6212993421052632,0.6162061759925702,0.5790432751549635
20,1.019526730085674,1.0790761987792663,0.6252055921052632,0.601114464824704,0.5625489667483026
21,1.0326226592063903,1.0898181599006316,0.619860197368421,0.5964708613884374,0.5506750987451532
22,1.0269817468367124,1.1125703194259295,0.6245888157894737,0.598328302762944,0.5483626067153072
23,0.9700476232327913,1.020479993045759,0.6466282894736842,0.6275830044114232,0.5881418168251066
24,0.9426175685305345,1.0137595464160831,0.6564555921052632,0.6208497794288368,0.5879318210829598
25,0.9290134254254793,1.0253762893840612,0.6552631578947369,0.6196888785697702,0.5848938688194696
26,0.9241439386417991,1.0128923348990786,0.6623766447368421,0.6312978871604364,0.6108993810538687
27,0.9210138142108917,1.0164968654399187,0.6668174342105263,0.6308335268168098,0.5909010213659401
28,0.9000413888379147,1.0339083313277684,0.6689967105263158,0.6220106802879034,0.5935527949240248
29,0.8945025327958559,1.0559853874588057,0.6707236842105263,0.6199210587415834,0.588918149423722
30,0.8975935594031685,0.995615241296169,0.6694490131578947,0.6368702112839564,0.6123122554050761
