,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise
Angry,0.5091649694501018,0.038696537678207736,0.08961303462321792,0.05295315682281059,0.12627291242362526,0.164969450101833,0.018329938900203666
Disgust,0.12727272727272726,0.7090909090909091,0.03636363636363636,0.03636363636363636,0.0,0.07272727272727272,0.01818181818181818
Fear,0.09659090909090909,0.017045454545454544,0.3503787878787879,0.056818181818181816,0.13825757575757575,0.22537878787878787,0.11553030303030302
Happy,0.012514220705346985,0.0011376564277588168,0.020477815699658702,0.8725824800910125,0.04550625711035267,0.030716723549488054,0.017064846416382253
Neutral,0.13578274760383385,0.01597444089456869,0.12140575079872204,0.2380191693290735,0.2108626198083067,0.1805111821086262,0.09744408945686901
Sad,0.08249158249158249,0.008417508417508417,0.09090909090909091,0.06060606060606061,0.23905723905723905,0.5084175084175084,0.010101010101010102
Surprise,0.02403846153846154,0.009615384615384616,0.11298076923076923,0.0625,0.04807692307692308,0.026442307692307692,0.7163461538461539
