Epoch,Train_Loss,Validation_Loss,Train_Accuracy,Validation_Accuracy,Validation_Macro_F1
1,1.6943578726366946,1.5178383906811497,0.3631990131578947,0.4190852101230555,0.36675104942550335
2,1.4299222714022586,1.3865785385357245,0.4751233552631579,0.4954724866496401,0.4060960041758389
3,1.3542918594259965,1.2678518973953463,0.5066200657894737,0.5356396563733458,0.4579162609299335
4,1.3094766629369636,1.2901473160766521,0.5257401315789474,0.5254237288135594,0.44804658627192856
5,1.2769524279393647,1.2120036697454122,0.5349506578947368,0.5488739261667054,0.4766994309540912
6,1.2408128387049624,1.2497718305136063,0.5469161184210526,0.5261202693289994,0.4706089520218982
7,1.2197647395886873,1.197336861282926,0.5544819078947368,0.5616438356164384,0.5061396689314187
8,1.193778571957036,1.1489133627807178,0.5615542763157895,0.5799860691896912,0.5262023880142241
9,1.1775404632091522,1.211032244897315,0.5672286184210527,0.5435337822149988,0.49998611381592
10,1.1550801615965993,1.1531172303276602,0.5793174342105263,0.5767355467843046,0.5189848941050406
11,1.1453233797299234,1.1097503546802687,0.5833059210526316,0.5918272579521708,0.5506571463375647
12,1.1263299775751014,1.1099153741042078,0.5883223684210527,0.5834687717668912,0.5288070776432083
13,1.1153244598915701,1.1023055809624156,0.59453125,0.5892732760622242,0.5313643784776716
14,1.1021034454044543,1.1206799661003302,0.6002055921052631,0.588344555374971,0.5408021824970882
15,1.0997239972415724,1.1090561041484335,0.5974917763157894,0.6008822846528906,0.5474243956568425
16,1.0866922968312314,1.0938328570436098,0.6033717105263158,0.6055258880891572,0.5480547267855906
17,1.0690307074471523,1.0900674190243353,0.60859375,0.596935221732064,0.5430074778828337
18,1.054655979809008,1.074978694883665,0.6143092105263158,0.599024843278384,0.5651363866659775
19,1.061622501047034,1.0787870127501,0.6139391447368421,0.6013466449965172,0.55759843507569
20,1.0317171181503095,1.0698483857417678,0.6242598684210526,0.6106338518690504,0.5696597174899155
21,1.0281834084736674,1.0734384380971191,0.6242598684210526,0.5939168794984908,0.5477299434751374
22,1.0224708372040798,1.1097462605179007,0.6283305921052632,0.5939168794984908,0.5555578248730771
23,1.0074841718924672,1.0688316726701177,0.6243421052631579,0.6092407708381704,0.5735039671252818
24,0.9996716191894129,1.046283410338368,0.6306332236842105,0.6120269328999304,0.5659820677256459
25,1.009282590213575,1.0524377937324645,0.6284128289473684,0.6185279777107036,0.578298907108578
26,0.9870726883411407,1.0727945470272984,0.6373766447368421,0.6192245182261434,0.5799007627949152
27,0.9800218889587804,1.0539619432736749,0.6400904605263158,0.6136521941026236,0.5833690951246123
28,0.973710390768553,1.0370205707358517,0.6412006578947368,0.62386812166241,0.5877550737522224
29,0.9630596173437018,1.0386018730909332,0.6477384868421052,0.6173670768516368,0.5824777137163263
30,0.9575493498852379,1.0451252400003233,0.6470394736842106,0.612491293243557,0.5725769274785931
