,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise
Angry,0.5967413441955194,0.02240325865580448,0.11608961303462322,0.04073319755600815,0.09572301425661914,0.109979633401222,0.018329938900203666
Disgust,0.09090909090909091,0.8181818181818182,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818,0.01818181818181818
Fear,0.13068181818181818,0.011363636363636364,0.4356060606060606,0.041666666666666664,0.07386363636363637,0.1856060606060606,0.12121212121212122
Happy,0.010238907849829351,0.0011376564277588168,0.020477815699658702,0.8919226393629124,0.030716723549488054,0.026166097838452786,0.019340159271899887
Neutral,0.16293929712460065,0.019169329073482427,0.134185303514377,0.268370607028754,0.16773162939297126,0.14057507987220447,0.10702875399361023
Sad,0.12457912457912458,0.0016835016835016834,0.11616161616161616,0.0707070707070707,0.18686868686868688,0.4831649831649832,0.016835016835016835
Surprise,0.026442307692307692,0.004807692307692308,0.11538461538461539,0.0625,0.016826923076923076,0.019230769230769232,0.7548076923076923
