,Angry,Disgust,Fear,Happy,Neutral,Sad,Surprise
Angry,293,11,57,20,47,54,9
Disgust,5,45,1,1,1,1,1
Fear,69,6,230,22,39,98,64
Happy,9,1,18,784,27,23,17
Neutral,102,12,84,168,105,88,67
Sad,74,1,69,42,111,287,10
Surprise,11,2,48,26,7,8,314
